,fitness,evaluations,solution,folder
5,0.8215,"[0.7070000000000001, 0.8160000000000001, 0.8325, 0.8125, 0.8145, 0.778, 0.828, 0.842, 0.8175, 0.8125]","[0, 0, 8, 1, 8, 0, 1, 4, 7, 2, 0, 0, 2, 8]",GS - 22-11-01-16-02-50
8,0.7464999999999999,"[0.777, 0.6154999999999999, 0.626, 0.744, 0.7495, 0.7235, 0.7835, 0.7705, 0.7735, 0.753]","[0, 0, 8, 2, 7, 0, 6, 7, 8, 2, 2, 0, 2, 4]",GS - 22-11-01-18-31-27
9,0.84,"[0.7535, 0.742, 0.777, 0.839, 0.843, 0.8315, 0.841, 0.8375, 0.8365, 0.846]","[0, 0, 9, 3, 7, 0, 4, 8, 6, 0, 0, 0, 0, 0]",GS - 22-11-01-20-49-39
18,0.7625,"[0.8085, 0.6925, 0.807, 0.7945, 0.7995, 0.7705, 0.7825, 0.7695000000000001, 0.783, 0.7915]","[0, 0, 9, 9, 6, 0, 0, 4, 8, 1, 2, 0, 3, 6]",GS - 22-11-01-23-04-41
15,0.8065,"[0.6859999999999999, 0.7375, 0.7424999999999999, 0.7925, 0.8, 0.804, 0.7975, 0.8275, 0.8075, 0.8125]","[0, 0, 9, 2, 4, 0, 0, 1, 9, 1, 0, 0, 0, 5]",GS - 22-11-02-01-30-32
0,0.8045,"[0.7729999999999999, 0.823, 0.8305, 0.77, 0.7725, 0.8005, 0.8215, 0.827, 0.8465, 0.8145]","[0, 0, 7, 5, 7, 0, 2, 0, 9, 2, 0, 0, 3, 7]",GS - 22-11-02-03-53-21
12,0.8049999999999999,"[0.768, 0.8075, 0.8240000000000001, 0.8075, 0.8245, 0.6395, 0.7675, 0.8109999999999999, 0.8099999999999999, 0.7999999999999999]","[0, 0, 9, 3, 9, 0, 2, 4, 8, 7, 0, 0, 2, 0]",GS - 22-11-02-06-21-11
7,0.839,"[0.7775, 0.6605, 0.8165, 0.7965, 0.764, 0.7875, 0.7785, 0.8255, 0.8105, 0.8235]","[0, 0, 7, 0, 5, 0, 2, 0, 8, 0, 0, 0, 3, 2]",GS - 22-11-02-08-30-43
2,0.7375,"[0.8305, 0.7989999999999999, 0.802, 0.847, 0.8215, 0.733, 0.8255, 0.8145, 0.723, 0.739]","[0, 0, 7, 6, 7, 0, 5, 8, 9, 10, 0, 0, 2, 0]",GS - 22-11-02-10-58-47
6,0.7975,"[0.692, 0.755, 0.781, 0.774, 0.742, 0.7505, 0.7484999999999999, 0.8215, 0.8049999999999999, 0.8065]","[0, 0, 7, 3, 9, 0, 3, 2, 8, 2, 0, 0, 3, 3]",GS - 22-11-02-13-30-05
4,0.821,"[0.6225, 0.8035, 0.7949999999999999, 0.8069999999999999, 0.756, 0.7705, 0.7635, 0.8215, 0.8235, 0.8275]","[0, 0, 9, 3, 8, 0, 7, 2, 5, 4, 0, 0, 0, 7]",GS - 22-11-02-17-36-41
19,0.788,"[0.6785, 0.6535, 0.688, 0.774, 0.7545000000000001, 0.792, 0.7825, 0.7909999999999999, 0.7765, 0.7829999999999999]","[0, 0, 7, 4, 7, 0, 4, 2, 9, 7, 0, 0, 2, 3]",GS - 22-11-02-22-04-50
10,0.8055,"[0.7515, 0.741, 0.766, 0.8495, 0.8455, 0.839, 0.8049999999999999, 0.8195, 0.8015, 0.8095]","[0, 0, 9, 1, 5, 0, 6, 3, 6, 4, 0, 0, 2, 1]",GS - 22-11-03-02-41-52
14,0.7705,"[0.7995, 0.6925, 0.717, 0.725, 0.724, 0.779, 0.7835, 0.7855, 0.781, 0.782]","[0, 0, 8, 6, 8, 0, 4, 6, 9, 9, 0, 0, 0, 8]",GS - 22-11-03-07-20-02
13,0.778,"[0.6295, 0.7244999999999999, 0.763, 0.7905, 0.7695, 0.7815, 0.7655, 0.777, 0.77, 0.777]","[0, 0, 8, 8, 6, 0, 7, 4, 9, 2, 0, 0, 1, 5]",GS - 22-11-03-11-47-18
3,0.7795,"[0.7010000000000001, 0.6679999999999999, 0.7444999999999999, 0.749, 0.7875, 0.7755, 0.793, 0.7815, 0.769, 0.772]","[0, 0, 8, 6, 9, 0, 7, 3, 9, 1, 0, 0, 1, 6]",GS - 22-11-03-16-10-10
11,0.7965,"[0.8175, 0.774, 0.7505, 0.757, 0.7525, 0.76, 0.8035, 0.8035, 0.8099999999999999, 0.8075]","[0, 0, 7, 6, 6, 0, 2, 2, 7, 9, 0, 0, 0, 8]",GS - 22-11-03-20-40-38
17,0.839,"[0.8165, 0.827, 0.829, 0.812, 0.8109999999999999, 0.838, 0.828, 0.822, 0.8425, 0.844]","[0, 0, 9, 7, 8, 0, 0, 4, 8, 4, 0, 0, 0, 4]",GS - 22-11-04-01-14-59
16,0.7905,"[0.752, 0.7905, 0.782, 0.7825, 0.7665, 0.7835, 0.7969999999999999, 0.7845, 0.782, 0.7855]","[0, 0, 9, 3, 6, 0, 5, 5, 8, 8, 0, 0, 3, 2]",GS - 22-11-04-05-47-37
1,0.83,"[0.7555, 0.772, 0.777, 0.7785, 0.7765, 0.789, 0.694, 0.766, 0.838, 0.8545]","[0, 0, 9, 4, 9, 0, 0, 4, 7, 1, 0, 0, 3, 6]",GS - 22-11-04-10-09-39
