,fitness,evaluations,solution,folder
15,0.8180000000000001,"[0.6679999999999999, 0.6775, 0.8075, 0.83, 0.8165, 0.8255, 0.8089999999999999, 0.8045, 0.794, 0.8200000000000001]","[0, 0, 9, 5, 7, 0, 4, 3, 8, 0, 0, 0, 2, 2]",GS - 22-11-01-17-28-37
6,0.8305,"[0.7465, 0.74, 0.754, 0.775, 0.7445, 0.7395, 0.755, 0.828, 0.8235, 0.8355]","[0, 0, 8, 9, 8, 0, 2, 0, 9, 4, 0, 0, 0, 3]",GS - 22-11-01-19-44-05
12,0.733,"[0.7225, 0.617, 0.7235, 0.7224999999999999, 0.6725, 0.6719999999999999, 0.7284999999999999, 0.7204999999999999, 0.7415, 0.736]","[0, 0, 8, 4, 8, 0, 9, 8, 9, 8, 2, 0, 3, 2]",GS - 22-11-01-22-00-48
18,0.8089999999999999,"[0.8005, 0.7535, 0.7685, 0.7535000000000001, 0.7665, 0.765, 0.7625, 0.741, 0.7909999999999999, 0.794]","[0, 0, 9, 5, 9, 0, 5, 5, 6, 2, 0, 0, 3, 7]",GS - 22-11-02-00-23-40
4,0.83,"[0.7445, 0.7224999999999999, 0.6859999999999999, 0.6895, 0.7095, 0.708, 0.729, 0.808, 0.8029999999999999, 0.8255]","[0, 0, 9, 5, 7, 0, 3, 4, 7, 2, 0, 0, 2, 2]",GS - 22-11-02-02-48-04
0,0.835,"[0.704, 0.7045, 0.791, 0.8300000000000001, 0.8145, 0.8185, 0.834, 0.84, 0.833, 0.8514999999999999]","[0, 0, 9, 9, 8, 0, 1, 3, 9, 2, 0, 0, 0, 7]",GS - 22-11-02-05-14-30
1,0.833,"[0.603, 0.751, 0.7515000000000001, 0.743, 0.7635000000000001, 0.832, 0.832, 0.725, 0.7264999999999999, 0.84]","[0, 0, 8, 2, 9, 0, 2, 9, 6, 0, 0, 0, 1, 8]",GS - 22-11-02-07-30-52
7,0.8375,"[0.585, 0.7565, 0.8150000000000001, 0.806, 0.7875, 0.7925, 0.7765, 0.8115, 0.8355, 0.8275]","[0, 0, 8, 2, 6, 0, 3, 1, 8, 0, 0, 0, 1, 9]",GS - 22-11-02-09-49-54
11,0.8180000000000001,"[0.697, 0.714, 0.7815, 0.7975, 0.7929999999999999, 0.8045, 0.7925, 0.7815, 0.8035, 0.8245]","[0, 0, 9, 5, 7, 0, 6, 1, 5, 0, 0, 0, 1, 6]",GS - 22-11-02-12-24-48
16,0.7835,"[0.6535, 0.677, 0.762, 0.8145, 0.7675, 0.771, 0.7655, 0.776, 0.7755, 0.7889999999999999]","[0, 0, 8, 6, 8, 0, 3, 5, 8, 5, 1, 0, 2, 7]",GS - 22-11-02-14-41-12
17,0.7905,"[0.77, 0.77, 0.73, 0.7949999999999999, 0.798, 0.8065, 0.8065, 0.8075, 0.7875, 0.8035]","[0, 0, 9, 5, 5, 0, 3, 10, 9, 3, 0, 0, 0, 7]",GS - 22-11-02-20-07-48
10,0.8019999999999999,"[0.518, 0.799, 0.791, 0.6585, 0.7885, 0.7895, 0.8155, 0.8045, 0.824, 0.8079999999999999]","[0, 0, 9, 9, 5, 0, 4, 9, 5, 3, 0, 0, 2, 2]",GS - 22-11-03-00-45-26
8,0.7769999999999999,"[0.7215, 0.7495, 0.745, 0.7355, 0.768, 0.7515000000000001, 0.759, 0.7565, 0.714, 0.774]","[0, 0, 7, 8, 5, 0, 4, 2, 9, 4, 0, 0, 3, 6]",GS - 22-11-03-05-20-24
3,0.7665,"[0.743, 0.7130000000000001, 0.725, 0.6915, 0.7665, 0.8175, 0.8079999999999999, 0.8355, 0.8245, 0.7635000000000001]","[0, 0, 8, 5, 9, 0, 4, 3, 9, 7, 1, 0, 2, 0]",GS - 22-11-03-09-47-07
14,0.7775,"[0.725, 0.7384999999999999, 0.7795, 0.7755, 0.733, 0.75, 0.7575000000000001, 0.741, 0.779, 0.7555000000000001]","[0, 0, 9, 9, 9, 0, 2, 9, 9, 0, 0, 0, 3, 0]",GS - 22-11-03-14-14-47
5,0.7805,"[0.6699999999999999, 0.781, 0.743, 0.745, 0.739, 0.7324999999999999, 0.745, 0.748, 0.7615, 0.794]","[0, 0, 7, 0, 7, 0, 4, 3, 5, 1, 0, 0, 1, 2]",GS - 22-11-03-18-45-47
9,0.7285,"[0.6944999999999999, 0.7355, 0.833, 0.8415, 0.8345, 0.763, 0.7425, 0.73, 0.7335, 0.739]","[0, 0, 7, 2, 9, 0, 8, 2, 9, 4, 3, 0, 0, 5]",GS - 22-11-03-23-13-50
2,0.7885,"[0.7085, 0.817, 0.8275, 0.8105, 0.605, 0.763, 0.7785, 0.7625, 0.77, 0.786]","[0, 0, 7, 1, 7, 0, 6, 2, 9, 5, 0, 0, 0, 4]",GS - 22-11-04-03-51-49
13,0.8325,"[0.712, 0.7665, 0.761, 0.7335, 0.623, 0.5980000000000001, 0.6094999999999999, 0.78, 0.7835, 0.8225]","[0, 0, 9, 5, 9, 0, 1, 3, 9, 0, 0, 0, 3, 5]",GS - 22-11-04-08-12-50
19,0.7615000000000001,"[0.7435, 0.77, 0.7435, 0.749, 0.7955, 0.7725, 0.756, 0.7585, 0.7635, 0.769]","[0, 0, 8, 1, 4, 0, 7, 3, 9, 1, 0, 0, 3, 7]",GS - 22-11-04-12-37-50
