,fitness,evaluations,solution,folder
18,0.234,"[0.205, 0.276, 0.245, 0.254, 0.265, 0.251, 0.231, 0.244, 0.236, 0.242]","[0, 0, 5, 9, 9, 0, 8, 0, 0, 10, 1, 2, 3, 8]",GS - 22-10-20-16-31-56
13,0.214,"[0.266, 0.319, 0.269, 0.304, 0.26, 0.292, 0.264, 0.259, 0.275, 0.224]","[0, 0, 0, 6, 6, 0, 7, 1, 0, 7, 3, 2, 1, 1]",GS - 22-10-20-17-57-14
3,0.243,"[0.102, 0.196, 0.25, 0.121, 0.113, 0.128, 0.132, 0.138, 0.13, 0.231]","[0, 0, 0, 3, 6, 0, 1, 10, 0, 6, 0, 2, 1, 3]",GS - 22-10-20-19-22-38
15,0.299,"[0.144, 0.305, 0.314, 0.284, 0.266, 0.226, 0.141, 0.291, 0.301, 0.295]","[0, 0, 1, 1, 5, 0, 7, 2, 0, 2, 3, 2, 2, 1]",GS - 22-10-20-20-46-16
9,0.266,"[0.225, 0.216, 0.288, 0.277, 0.318, 0.26, 0.208, 0.254, 0.259, 0.274]","[0, 0, 1, 2, 4, 0, 2, 1, 0, 9, 3, 0, 3, 9]",GS - 22-10-20-22-11-14
14,0.262,"[0.2485, 0.241, 0.237, 0.26, 0.257, 0.291, 0.337, 0.253, 0.237, 0.242]","[0, 0, 2, 2, 6, 0, 9, 8, 0, 9, 3, 1, 2, 0]",GS - 22-10-20-23-36-50
10,0.248,"[0.172, 0.174, 0.251, 0.227, 0.161, 0.142, 0.154, 0.132, 0.206, 0.208]","[0, 0, 1, 4, 2, 0, 0, 2, 0, 2, 1, 0, 2, 6]",GS - 22-10-21-01-02-11
12,0.231,"[0.155, 0.275, 0.293, 0.224, 0.237, 0.252, 0.249, 0.222, 0.231, 0.228]","[0, 0, 5, 2, 7, 0, 4, 10, 0, 3, 2, 2, 3, 4]",GS - 22-10-21-02-27-03
19,0.236,"[0.274, 0.2, 0.195, 0.203, 0.137, 0.141, 0.253, 0.27, 0.231, 0.257]","[0, 0, 1, 2, 7, 0, 0, 2, 0, 6, 3, 1, 3, 2]",GS - 22-10-21-03-53-33
11,0.227,"[0.237, 0.324, 0.283, 0.157, 0.213, 0.27, 0.259, 0.231, 0.219, 0.239]","[0, 0, 4, 8, 7, 0, 7, 3, 0, 9, 3, 2, 1, 0]",GS - 22-10-21-05-20-39
8,0.213,"[0.194, 0.206, 0.184, 0.206, 0.2, 0.223, 0.182, 0.212, 0.181, 0.172]","[0, 0, 9, 0, 2, 0, 9, 6, 0, 1, 1, 0, 3, 0]",GS - 22-11-02-20-47-18
6,0.234,"[0.249, 0.192, 0.205, 0.209, 0.219, 0.221, 0.198, 0.253, 0.218, 0.255]","[0, 0, 4, 9, 3, 0, 5, 8, 0, 9, 3, 2, 3, 2]",GS - 22-11-03-01-22-34
16,0.271,"[0.181, 0.171, 0.165, 0.162, 0.286, 0.275, 0.105, 0.116, 0.149, 0.26]","[0, 0, 2, 1, 2, 0, 2, 6, 0, 2, 3, 2, 3, 5]",GS - 22-11-03-06-00-50
17,0.167,"[0.201, 0.204, 0.208, 0.193, 0.302, 0.152, 0.179, 0.169, 0.183, 0.157]","[0, 0, 5, 2, 3, 0, 8, 10, 0, 8, 0, 0, 2, 4]",GS - 22-11-03-10-27-43
5,0.207,"[0.213, 0.208, 0.147, 0.189, 0.205, 0.218, 0.188, 0.213, 0.208, 0.237]","[0, 0, 2, 0, 6, 0, 2, 1, 0, 10, 2, 0, 2, 9]",GS - 22-11-03-14-51-58
1,0.292,"[0.226, 0.131, 0.14, 0.194, 0.298, 0.307, 0.261, 0.259, 0.307, 0.286]","[0, 0, 0, 2, 7, 0, 0, 9, 0, 9, 3, 2, 0, 5]",GS - 22-11-03-19-23-35
0,0.337,"[0.245, 0.256, 0.252, 0.247, 0.296, 0.275, 0.325, 0.298, 0.279, 0.309]","[0, 0, 1, 6, 9, 0, 3, 3, 0, 9, 3, 2, 3, 5]",GS - 22-11-03-23-55-36
4,0.258,"[0.256, 0.25, 0.279, 0.247, 0.306, 0.244, 0.22, 0.24, 0.215, 0.234]","[0, 0, 1, 8, 2, 0, 6, 0, 0, 5, 2, 2, 1, 2]",GS - 22-11-04-04-30-55
7,0.234,"[0.17, 0.153, 0.174, 0.173, 0.244, 0.189, 0.217, 0.165, 0.244, 0.26]","[0, 0, 2, 1, 3, 0, 7, 1, 0, 0, 3, 1, 2, 8]",GS - 22-11-04-08-48-01
2,0.31,"[0.317, 0.311, 0.138, 0.145, 0.15, 0.157, 0.322, 0.32, 0.309, 0.352]","[0, 0, 9, 4, 4, 0, 8, 1, 0, 7, 3, 2, 3, 6]",GS - 22-11-04-13-14-20
