,fitness,evaluations,solution,folder
4,0.794,"[0.841, 0.836, 0.776, 0.783, 0.745, 0.724, 0.759, 0.772, 0.802, 0.794]","[0, 0, 6, 8, 5, 0, 5, 1, 1, 9, 1, 0, 3, 4]",GS - 22-10-20-16-41-12
11,0.796,"[0.694, 0.71, 0.716, 0.697, 0.684, 0.834, 0.837, 0.816, 0.827, 0.797]","[0, 0, 4, 3, 4, 0, 2, 1, 1, 4, 1, 0, 3, 1]",GS - 22-10-20-18-06-28
19,0.763,"[0.769, 0.76, 0.565, 0.598, 0.719, 0.763, 0.786, 0.813, 0.779, 0.772]","[0, 0, 9, 2, 7, 0, 6, 2, 0, 7, 2, 0, 3, 2]",GS - 22-10-20-19-33-29
17,0.766,"[0.714, 0.705, 0.679, 0.764, 0.775, 0.72, 0.733, 0.792, 0.646, 0.79]","[0, 0, 2, 3, 4, 0, 8, 0, 1, 10, 2, 1, 3, 7]",GS - 22-10-20-20-55-31
15,0.916,"[0.802, 0.823, 0.804, 0.641, 0.664, 0.761, 0.754, 0.793, 0.698, 0.913]","[0, 0, 8, 0, 7, 0, 4, 0, 0, 4, 3, 0, 1, 1]",GS - 22-10-20-22-20-52
13,0.811,"[0.808, 0.81, 0.816, 0.824, 0.674, 0.779, 0.765, 0.786, 0.789, 0.847]","[0, 0, 1, 4, 5, 0, 6, 8, 0, 2, 1, 0, 3, 0]",GS - 22-10-20-23-47-18
9,0.763,"[0.703, 0.695, 0.686, 0.709, 0.806, 0.798, 0.82, 0.784, 0.768, 0.768]","[0, 0, 4, 2, 4, 0, 3, 7, 0, 6, 1, 0, 3, 8]",GS - 22-10-21-01-12-06
6,0.831,"[0.661, 0.812, 0.734, 0.713, 0.718, 0.714, 0.848, 0.839, 0.847, 0.853]","[0, 0, 8, 4, 9, 0, 9, 2, 0, 6, 1, 0, 3, 7]",GS - 22-10-21-02-36-40
14,0.856,"[0.89, 0.72, 0.708, 0.752, 0.796, 0.793, 0.765, 0.79, 0.844, 0.875]","[0, 0, 2, 0, 8, 0, 2, 5, 1, 2, 1, 0, 3, 2]",GS - 22-10-21-04-03-32
18,0.827,"[0.649, 0.657, 0.744, 0.712, 0.7, 0.705, 0.676, 0.675, 0.806, 0.873]","[0, 0, 2, 7, 5, 0, 7, 1, 1, 5, 2, 0, 3, 3]",GS - 22-10-21-05-30-47
16,0.836,"[0.692, 0.673, 0.744, 0.761, 0.742, 0.841, 0.679, 0.691, 0.799, 0.808]","[0, 0, 9, 4, 9, 0, 5, 0, 1, 2, 1, 0, 2, 9]",GS - 22-11-02-20-56-23
7,0.832,"[0.678, 0.688, 0.779, 0.682, 0.786, 0.831, 0.808, 0.798, 0.863, 0.845]","[0, 0, 3, 5, 4, 0, 4, 1, 1, 3, 1, 0, 3, 1]",GS - 22-11-03-01-31-47
10,0.979,"[0.525, 0.801, 0.737, 0.7, 0.79, 0.772, 0.793, 0.765, 0.775, 0.97]","[0, 0, 9, 7, 7, 0, 2, 3, 0, 2, 3, 0, 1, 8]",GS - 22-11-03-06-09-51
12,0.819,"[0.814, 0.706, 0.7, 0.805, 0.821, 0.794, 0.808, 0.818, 0.809, 0.828]","[0, 0, 2, 2, 6, 0, 8, 6, 0, 9, 2, 0, 3, 6]",GS - 22-11-03-10-37-59
3,0.836,"[0.637, 0.892, 0.885, 0.697, 0.703, 0.858, 0.853, 0.858, 0.867, 0.852]","[0, 0, 2, 1, 5, 0, 9, 3, 1, 1, 1, 0, 3, 7]",GS - 22-11-03-15-01-59
1,0.887,"[0.765, 0.725, 0.729, 0.727, 0.825, 0.869, 0.864, 0.889, 0.857, 0.862]","[0, 0, 4, 0, 5, 0, 3, 0, 1, 2, 1, 0, 3, 9]",GS - 22-11-03-19-32-59
2,0.871,"[0.891, 0.667, 0.723, 0.81, 0.774, 0.781, 0.808, 0.821, 0.798, 0.877]","[0, 0, 3, 7, 8, 0, 7, 0, 1, 6, 1, 0, 3, 7]",GS - 22-11-04-00-05-00
8,0.951,"[0.843, 0.642, 0.828, 0.824, 0.809, 0.794, 0.829, 0.958, 0.959, 0.951]","[0, 0, 9, 1, 6, 0, 2, 6, 0, 9, 3, 0, 0, 2]",GS - 22-11-04-04-40-13
0,0.878,"[0.827, 0.865, 0.85, 0.823, 0.709, 0.849, 0.854, 0.863, 0.864, 0.859]","[0, 0, 3, 3, 4, 0, 2, 2, 1, 9, 1, 0, 3, 8]",GS - 22-11-04-08-57-37
5,0.971,"[0.797, 0.661, 0.627, 0.583, 0.742, 0.729, 0.754, 0.751, 0.761, 0.967]","[0, 0, 9, 5, 8, 0, 8, 4, 0, 1, 3, 0, 2, 7]",GS - 22-11-04-13-23-41
