,fitness,evaluations,solution,folder
6,0.671,"[0.5589999999999999, 0.6105, 0.6165, 0.639, 0.636, 0.6365, 0.637, 0.633, 0.6425, 0.645]","[0, 0, 5, 5, 4, 0, 8, 4, 2, 0, 3, 2, 1, 2]",GS - 22-11-01-18-06-47
14,0.6825,"[0.6194999999999999, 0.679, 0.6795, 0.6885, 0.6625, 0.6525000000000001, 0.6579999999999999, 0.628, 0.6815, 0.692]","[0, 0, 4, 0, 4, 0, 9, 9, 1, 5, 3, 2, 3, 5]",GS - 22-11-01-20-25-47
18,0.6675,"[0.7015, 0.6875, 0.6955, 0.649, 0.5905, 0.6395, 0.6985, 0.6475, 0.6635, 0.6539999999999999]","[0, 0, 3, 1, 3, 0, 9, 7, 2, 9, 3, 1, 2, 8]",GS - 22-11-01-22-38-33
19,0.6205,"[0.5465, 0.55, 0.647, 0.5549999999999999, 0.5375, 0.6855, 0.6935, 0.678, 0.7015, 0.6135]","[0, 0, 4, 8, 4, 0, 9, 10, 3, 2, 3, 1, 1, 1]",GS - 22-11-02-01-02-01
17,0.6325000000000001,"[0.6890000000000001, 0.6245, 0.6185, 0.593, 0.623, 0.665, 0.6225, 0.6255, 0.628, 0.626]","[0, 0, 7, 3, 6, 0, 3, 0, 3, 8, 3, 2, 1, 4]",GS - 22-11-02-03-24-44
1,0.6445,"[0.619, 0.579, 0.5865, 0.573, 0.634, 0.653, 0.6575, 0.643, 0.651, 0.644]","[0, 0, 5, 0, 7, 0, 9, 6, 2, 7, 1, 1, 2, 7]",GS - 22-11-02-05-56-10
2,0.6759999999999999,"[0.741, 0.7295, 0.618, 0.647, 0.6695, 0.632, 0.6605000000000001, 0.666, 0.6825, 0.6735]","[0, 0, 5, 0, 2, 0, 9, 3, 1, 6, 3, 1, 2, 2]",GS - 22-11-02-08-05-05
0,0.609,"[0.602, 0.722, 0.665, 0.6765, 0.7265, 0.6055, 0.6295, 0.6145, 0.6305, 0.6455]","[0, 0, 6, 6, 3, 0, 0, 3, 3, 3, 2, 2, 1, 2]",GS - 22-11-02-10-33-07
4,0.607,"[0.6065, 0.6335, 0.617, 0.6005, 0.6145, 0.5905, 0.6715, 0.606, 0.593, 0.603]","[0, 0, 4, 9, 4, 0, 4, 2, 4, 8, 3, 1, 2, 0]",GS - 22-11-02-13-02-40
8,0.65,"[0.596, 0.5894999999999999, 0.587, 0.7155, 0.7255, 0.7215, 0.7250000000000001, 0.7324999999999999, 0.7165, 0.6405000000000001]","[0, 0, 9, 1, 2, 0, 5, 3, 1, 1, 3, 2, 1, 7]",GS - 22-11-02-15-19-12
16,0.601,"[0.5865, 0.7045, 0.7085, 0.704, 0.691, 0.6855, 0.5855, 0.6635, 0.6685000000000001, 0.5985]","[0, 0, 4, 0, 5, 0, 7, 7, 4, 3, 3, 2, 0, 4]",GS - 22-11-02-21-09-39
13,0.631,"[0.526, 0.5545, 0.5775, 0.595, 0.706, 0.7065, 0.7265, 0.6234999999999999, 0.624, 0.6485]","[0, 0, 3, 1, 2, 0, 4, 1, 3, 2, 3, 2, 1, 1]",GS - 22-11-03-01-45-50
9,0.649,"[0.646, 0.647, 0.652, 0.587, 0.648, 0.6045, 0.694, 0.609, 0.6605, 0.654]","[0, 0, 2, 0, 7, 0, 7, 4, 2, 1, 1, 2, 0, 9]",GS - 22-11-03-06-22-20
7,0.613,"[0.6825, 0.5985, 0.6, 0.6295000000000001, 0.624, 0.644, 0.6115, 0.6245, 0.636, 0.6115]","[0, 0, 5, 1, 5, 0, 9, 7, 3, 2, 3, 1, 1, 4]",GS - 22-11-03-10-50-03
11,0.6935,"[0.6295, 0.6775, 0.6935, 0.6805, 0.692, 0.6835, 0.6194999999999999, 0.625, 0.6285000000000001, 0.676]","[0, 0, 6, 0, 8, 0, 3, 8, 1, 5, 3, 2, 0, 9]",GS - 22-11-03-15-14-16
12,0.6335,"[0.6065, 0.597, 0.5925, 0.6014999999999999, 0.687, 0.6885, 0.6715, 0.6825, 0.6995, 0.6325000000000001]","[0, 0, 2, 9, 5, 0, 2, 6, 1, 3, 2, 2, 0, 0]",GS - 22-11-03-19-46-01
3,0.7205,"[0.599, 0.6335, 0.6435, 0.6595, 0.6945, 0.6479999999999999, 0.656, 0.63, 0.652, 0.727]","[0, 0, 5, 2, 3, 0, 4, 0, 3, 1, 3, 1, 0, 8]",GS - 22-11-04-00-18-03
5,0.7085,"[0.649, 0.628, 0.617, 0.6465, 0.6479999999999999, 0.6485000000000001, 0.6425000000000001, 0.6835, 0.6705, 0.6885]","[0, 0, 7, 0, 2, 0, 8, 2, 1, 4, 0, 2, 0, 4]",GS - 22-11-04-04-51-37
15,0.5845,"[0.736, 0.474, 0.624, 0.6255, 0.619, 0.6154999999999999, 0.6295, 0.5815, 0.562, 0.5695]","[0, 0, 6, 5, 6, 0, 9, 2, 1, 7, 1, 2, 2, 2]",GS - 22-11-04-09-12-10
10,0.7665,"[0.5469999999999999, 0.6214999999999999, 0.616, 0.664, 0.671, 0.6745, 0.681, 0.6605, 0.767, 0.7775000000000001]","[0, 0, 2, 6, 4, 0, 9, 3, 1, 1, 3, 0, 0, 9]",GS - 22-11-04-13-36-24
