"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",NA,NA,NA,NA,NA,NA,0.002,NA,0,0.001,NA,NA
"2",NA,NA,NA,NA,NA,NA,0,NA,0.002,0.002,NA,NA
"3",NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA
"4",NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA
"5",NA,NA,NA,NA,NA,NA,0.001,NA,0.001,0.001,NA,NA
"6",NA,NA,NA,NA,NA,NA,0.002,NA,0.001,0,NA,NA
"7",0.002,0,0,0,0.001,0.002,0,0,0,0,0,0.00099999999999989
"8",NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA
"9",0,0.002,0,0,0.001,0.001,0,0,0,-0.00099999999999989,0,0.002
"10",0.001,0.002,0,0,0.001,0,0,0,-0.00099999999999989,0,0,0.00099999999999989
"11",NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA
"12",NA,NA,NA,NA,NA,NA,0.00099999999999989,NA,0.002,0.00099999999999989,NA,NA
